5.919171839068248119e+03	6.690579364577306478e+03	2.635602375906334601e+03	6.364460055309024938e+03	3.451816813844459830e+03
5.858752447274380756e+03	6.621971157233580925e+03	2.618874992607216882e+03	6.323692729775631051e+03	3.414113888630875863e+03
5.828640851575868510e+03	6.586655074707037784e+03	2.603175991223351048e+03	6.286175860938531514e+03	3.393783786552577112e+03
5.746640448823756742e+03	6.493576231546010604e+03	2.563359683035331727e+03	6.190131653350334091e+03	3.243980297010164122e+03
5.611669938726571672e+03	6.343424512181730279e+03	2.505145393840138695e+03	6.047347755837977274e+03	3.264781471578492528e+03
5.583969534420073614e+03	6.310661399661500582e+03	2.488827685959445716e+03	6.015535278145225675e+03	3.256756789334753194e+03
5.675839845375038749e+03	6.415082758129777176e+03	2.515990525944790534e+03	6.081605147826645407e+03	3.295273798825421636e+03
5.636626966247350538e+03	6.368634593847976248e+03	2.508559021167401170e+03	6.063082831018174147e+03	3.277907572959235495e+03
5.661629235291362420e+03	6.399361304444269990e+03	2.519663901575262116e+03	6.097143114102715117e+03	3.289288487786989208e+03
5.602940909362308048e+03	6.331692031165692242e+03	2.491359904166544766e+03	6.023525455208894527e+03	3.259108829748499375e+03
